author,name,playVolume,rank,score
机智的Kason,这才叫三连！B友必看！这辈子没这么卧槽过！,289.1万,1,4844948
央视新闻,《荒谬Huāng Miù》,157.6万,2,2937503
绵羊料理,店里卖58一只的包子王，自己在家做，你猜能省多少钱？,192万,3,2881387
烟季,"""你管这叫领域展开?""",183.5万,4,2818306
老番茄,【老番茄】小浣熊能有什么坏心眼呢？,205.8万,5,2778136
大漠叔叔,用碰瓷新疆棉花的方法，报道英国种族灭绝,239.4万,6,2660645
轩邈Elias,利路修，一位暴打饭圈的终极爽文男主,194.3万,7,2506527
Youtube中文字幕组,当作者想写死一个角色时......,230万,8,2280155
罗翔说刑法,【罗翔】给“坏人”辩护的律师也是坏人吗？,110.5万,9,2276008
广东共青团,“不，尊敬的奴隶主先生，这是你们的杰作”,130.8万,10,2210674
黑猫厨房,小当家：你在教我做饭？,137.4万,11,2108676
子彧星塵,“我们抛弃了神明，在战斗中永生！”--Fake A Smile,129.3万,12,2093317
泛式,新番复兴！四月最值得期待的10部动画！最后一部竟然翻车预定？！「2021年4月新番导视」,121.2万,13,2030313
记录生活的蛋黄派,“读评论”我是一棵高大的椰子树，名字：窝四你椰椰,102.2万,14,1985213
招商银行官方账号,【招行特供】 ❤ 挑战全网最甜书记舞 ❤,156.5万,15,1906284
凉风Kaze,穿 帮 名 场 面 ！【阅片无数特别篇】,141.3万,16,1896736
宋潮音乐企划,【三无X祖娅纳惜】女驸马丨她与她的花烛前（你没听过的逆水寒X黄梅戏）,66.4万,17,1892015
暴走漫画,【暴走大事件第八季】04 未来世界考古再爆重大发现，最强扫楼团乱入B站总部（蓝）,93.6万,18,1863791
盗月社食遇记,挑战四川街头最辣串串！一大把毛肚吸满辣椒，当地人警告：小心头晕！,122.5万,19,1856644
新华社,《弹 棉 花》,175.4万,20,1805051
巴比伦塔1,【自制动画】坏艾伦,111.8万,21,1801121
王师傅和小毛毛,3800一只的龙虾，王老菊来了！【凭啥这么贵 EP16-唐阁】,77.7万,22,1772576
low君热剧,【山河令×天下||温客行×周子舒】相信光的人，也会成为光。,25.4万,23,1765836
DashaTaran_官方频道,神仙颜值！俄罗斯模特Dasha来B站啦！【Dasha Taran】,133.8万,24,1737268
★⑥檤轮囬★,那一天...她彻底解放了！！！,111.2万,25,1727986
Flashcat闪电猫,耗时近两个月！手绘856张 哥斯拉大战金刚,97.9万,26,1725477
二喵的饭,网上卖118元的抹茶砖，只花20元买3样材料就能做？,64.2万,27,1635607
东尼ookii,扔飞镖到中国地图，扔到哪就去哪，结果我被送去了新疆,131.6万,28,1626367
卢正义的雕刻时光,我从木头里取出了梅花十三  你们还会想看大号柒吗,95.9万,29,1621852
TOMATOMATO番茄酱,请不要在泥淖中停留,223.1万,30,1613900
自来卷三木,群聊尴尬王,90.2万,31,1609038
幾加乘,这只猫猫就是逊啦,94.8万,32,1601743
根正苗红张独秀,【张哲瀚｜周子舒】收录山河令全剧120个笑容镜头｜一笑倾城｜治愈暴击,47.3万,33,1591342
JKAI杰凯,【经费爆炸】火影忍者真人版美剧【棒银：第二集】,146.4万,34,1563972
疯狂小杨哥,今天真是老爸和老弟的疯狂周末,184.4万,35,1545238
三代鹿人,《大宋宫词》烂是因为观众不行？我从来没见过如此双标的尬吹！,100.9万,36,1524803
才疏学浅的才浅,【才浅X毕导】我们竟破解了美国军事机密！实现量子隐身技术！,68.2万,37,1513055
阿巳与小铃铛,这才叫女装大佬！且看且珍惜！,93.1万,38,1505377
小口快去和我读书,盛宴散场，情怀不灭：洛克王国兴衰史,87.2万,39,1504652
中国日报,华春莹转发！关于涉疆谎言 外国博主这段视频讲透了 12分钟 逻辑清晰 一气呵成,112.2万,40,1501020
视角姬,叫几十个美少女起床？！为何如此困难...,103.6万,41,1495445
广西吴恩师,《她说》,163.1万,42,1476099
花园花玲,【花玲】KING,48.2万,43,1461100
-麦粒太太-Ver-,【原神手书动画】璃月篇#2—刻于晴空,43万,44,1460380
安森垚,唐朝人说话你听的懂么？,117万,45,1453794
灏灏灏了,【周星驰|说书人|高能混剪】前方爷青回！！！,77.8万,46,1437688
STN工作室,【STN快报第五季33】你们的补丁不错，现在是我CDPR的了,68.1万,47,1432709
TheMix多语种乐团,九国语言版《错位时空》：错过的人和事，都会在对的时空相遇...,76.6万,48,1429598
中国BOY超级大猩猩,开了个二手当铺，遇到傻子了！,79.2万,49,1426463
观察者网,爆笑……一位美国黑人讲摘棉花段子,163.6万,50,1419485
木鱼水心,豆瓣9.3！季季封神！「史上最烧钱的电视剧」《王冠》第一季P1,98.9万,51,1416712
瓶子君152,史上最被低估！2021四月新番毒奶推荐！,64.9万,52,1405598
利利那TD25,模 术 回 战，同步率0%【TD25定格动画】,71.7万,53,1397050
核动力路灯,【宋丹丹】姐就是女王,81万,54,1383980
YouTube精选字幕组,女儿问“为什么有人是黑色的？”老爸这样回答,139.9万,55,1379789
四川观察,男宿管员闯入女生寝室查寝 ，引发双方冲突,165.7万,56,1379654
无穷小亮的科普日常,【亮记生物鉴定】鉴定网友拍的春花,106.7万,57,1378616
杜海皇,职 场 带 师,85.4万,58,1350772
徐大虾咯,在VR游戏中调戏路人！？,66.6万,59,1336515
Eve_official,廻廻奇譚 - Eve MV(Live Film ver),41万,60,1332271
啊吗粽,马 桶 里 游 一 日,58.1万,61,1319001
泽野螳螂,我是谁♂,61.6万,62,1318517
面粉社长,B站不同等级的用户现状,71.3万,63,1301830
敬汉卿,挑战驼峰肉刺身！看这一块油就已经腻了！,98.2万,64,1289268
TØm,💃Makka Pakka💃,79.1万,65,1279999
兔叭咯,【医学博士】10岁男孩居然拥有D罩杯？｜男生胸太大怎么办？！,75.6万,66,1276166
敖厂长,曾经手机上竟然也有3A独占单机游戏,96.1万,67,1267746
黑镖客梦回,从没见过这么荒谬的沙雕BUG游戏！,59.2万,68,1267217
HOLA小测佬,西班牙人把剩菜剩饭做成了盲盒！一个竟然要卖40元！,72万,69,1246442
手工耿,用铁链做了个双截棍,126.4万,70,1245861
是鱼猫Ya,《原神》 在原神里弹千本樱,68.4万,71,1221618
马哥健身厨房,都说我不会跳舞，今天秀个“两只老虎”给大家助助兴,73.7万,72,1212311
我心悦然,山河令 | 全剧237声阿絮（剪着剪着就哭了）,28.9万,73,1206991
华农兄弟,华农兄弟：租了几个大棚，种点石斛，再摘点棕花来吃,75.2万,74,1200816
小芃路子野,西虹市正义联盟,101.6万,75,1193949
中国长安网,@HM耐克阿迪，你那叫说唱厂牌吗？（支持新疆棉花版）,45万,76,1176005
王者荣耀青莲,《青莲兰陵》兰陵王新打法后撤大闪！这才是闪现开发极致的兰陵王！！！,89.1万,77,1166942
三宋在这,这爱情来的也太突然了,106.5万,78,1142070
力元君,我入驻B站啦！今天来读读大家的评论,78.8万,79,1140752
北城殇_,山河令！封神电影镜头告诉你！老子凭本事火的！！！！,17.9万,80,1099426
猛男舞团IconX,今天就是各位猛男的大喜之日！,93.7万,81,1078716
英语兔,光速背单词必备!,30.9万,82,1070219
Max张晋,【张晋的视频】与自己握手言和，发现精彩生活VLOG-16 上海日常,102.3万,83,1066164
阿森聊影视,央视主持竟是间谍！帮澳大利亚残害中国，今入狱两月背后靠山曝光,257.3万,84,1035971
柒_小诗,卧槽卧槽！不得不说周星驰才是审美祖师爷！！,132.4万,85,1030488
不会画出版社,成人恋爱和校园恋爱，其实很不一样。,86.7万,86,1016755
大祥哥来了,【祥食记 Vlog 01】紫金阁的点心真不戳,65.9万,87,1006505
少年五之歌,【小城谣】有的人生来就是为了遇见 ——全网首支Minecraft 古风MV,22.8万,88,1005585
假美食po主,120元小龙虾盖饭 最爽吃法之空口吃龙虾,55.6万,89,999359
创意摄影师Jordi,2020年风靡全球的摄影创意！令人眼前一亮的艺术短片,84.2万,90,994669
傻子未卫,【谭sir】错位时空,49.9万,91,991399
淮秀帮,【淮秀帮】配音还原《山河令》唇语大结局！,28万,92,988521
七七晓七七,智力缺陷学生笑着告诉老师准备辍学打工，老师劝解后用“一颗糖”将他留下,130万,93,986652
Vicky宣宣,一段旋律怎么变成一首歌？曝光学生党制作歌曲全过程:),134.9万,94,980917
穷哥们茉日天,好家伙，玩这玩意儿都有职业选手？,202.5万,95,958195
小文哥吃吃吃,3600一条的顶级蓝身大斑，可遇不可求，鱼肚比猪肚还厚实,65.8万,96,954104
人民视频,“你和摄像机浑然一体，看不出来了，对不起啊”没有看到提问记者，华春莹抱歉地笑了,87.9万,97,946224
波士顿圆脸,国务院新闻办发布： 《2020美国侵犯人权报告》,49.4万,98,945083
老爸评测,不挨饿也能边吃边瘦，99%的人不知道的减肥方法【老爸评测】,45.2万,99,941647
盒子酸奶,“这才是真正的鬼步舞！”,50.4万,100,937101
烟季,"""你管这叫领域展开?""",183.5万,1,2818306
泛式,新番复兴！四月最值得期待的10部动画！最后一部竟然翻车预定？！「2021年4月新番导视」,121.2万,2,2030313
巴比伦塔1,【自制动画】坏艾伦,111.8万,3,1801121
Flashcat闪电猫,耗时近两个月！手绘856张 哥斯拉大战金刚,97.9万,4,1725477
幾加乘,这只猫猫就是逊啦,94.8万,5,1601743
JKAI杰凯,【经费爆炸】火影忍者真人版美剧【棒银：第二集】,146.4万,6,1563972
阿巳与小铃铛,这才叫女装大佬！且看且珍惜！,93.1万,7,1505377
-麦粒太太-Ver-,【原神手书动画】璃月篇#2—刻于晴空,43万,8,1460380
瓶子君152,史上最被低估！2021四月新番毒奶推荐！,64.9万,9,1405598
利利那TD25,模 术 回 战，同步率0%【TD25定格动画】,71.7万,10,1397050
面粉社长,B站不同等级的用户现状,71.3万,11,1301830
不会画出版社,成人恋爱和校园恋爱，其实很不一样。,86.7万,12,1016755
粥粥的奇妙冒险,【原神恶搞】温迪的早晨,48.9万,13,921594
心傷卻無悔,【童年歌曲接龙】你能接下一句歌词吗？（偏00后）,58.8万,14,891564
我的爸爸是条龙哦,自律的男孩纸可以有多帅？！ | 原创动画 | 我的爸爸是条龙哦,52.9万,15,874495
胖雪人Ozu,配音演员疯了：用嘴包揽「初代奥特曼」所有声音,52.8万,16,846420
伍六_七,跨次元无缝衔接5！全程高能！此战将颠覆整个世界！,38.9万,17,770291
编程草履虫琪亚娜,当你乱写了一个程序他却碰巧完成了任务,72.5万,18,757275
尕丶天堂,从零开始的物语！爱蜜莉雅蕾姆跳起了白金disco（爆肝500张手书）,28万,19,734148
平头哥_PTFriends,给他展示展示武装到眼珠的力量！|原创动画|平头哥和朋友们,67.1万,20,731567
夕晖の謊言,异世界死亡轮回，三分钟带你重温Re0的感动瞬间！【Re0系列混剪/圣域篇完结纪念】,18万,21,696816
白木哒哒哒,你 这 狙 击 就 离 谱,39万,22,695693
酒客小丑,无敌的因果律武器！99%的人都搞不懂的究极烧脑替身！【JOJO替身集#14】,29.1万,23,691887
JakeToys,40年沧海桑田！激荡的终极浪漫！PGU元祖高达深度分享 PG UNLEASHED RX-78-2【JakeToys】,19.8万,24,658126
